# baseline captured 2026-08-11T08:14:32Z
# database: neondb
# tables: 52
# NOID = table has no integer id column; only count is tracked, min/max read NOID
# NULL  = table had zero rows at capture time
#
# Declare an expected decrease BEFORE running the delete that causes it, e.g.:
#   # EXPECTED 2026-08-12 phase-3 agent4
#   # platform.comments -8   sales rows, parent_type LIKE 'sales:%'
# verify.sh sums declarations per table and requires the actual decrease to match exactly.
#
# schema.table<TAB>count<TAB>min_id<TAB>max_id
issues.attachments	71	4	74
issues.issue_assignees	415	NOID	NOID
issues.issue_labels	264	NOID	NOID
issues.issue_watchers	1102	NOID	NOID
issues.issues	755	1	996
issues.project_labels	0	NOID	NOID
issues.project_members	0	NULL	NULL
issues.project_updates	1	2	2
issues.projects	73	1	78
issues.tasks	71	1	76
issues.workspace_counters	19	NOID	NOID
platform.api_tokens	21	1	34
platform.apps	2	NOID	NOID
platform.blob_references	205	NOID	NOID
platform.comments	379	1	400
platform.deletion_batches	332	198	532
platform.email_whitelist	4	1	5
platform.entities	899	NOID	NOID
platform.error_events	6	1	6
platform.events	4202	1	4993
platform.inbox_messages	1050	2	1093
platform.labels	41	6	58
platform.links	0	NOID	NOID
platform.password_reset_otps	2	1	2
platform.uploads	185	1	195
platform.users	16	1	47
platform.workspace_invitations	43	1	44
platform.workspace_members	48	1	59
platform.workspaces	19	1	27
sales.communications	1	1	1
sales.contacts	0	NULL	NULL
sales.counters	2	NOID	NOID
sales.document_products	0	NOID	NOID
sales.document_prospects	0	NOID	NOID
sales.documents	0	NULL	NULL
sales.events	0	NULL	NULL
sales.invitations	0	NULL	NULL
sales.labels	0	NULL	NULL
sales.match_documents	0	NOID	NOID
sales.matches	0	NULL	NULL
sales.meetings	0	NULL	NULL
sales.objections	0	NULL	NULL
sales.products	0	NULL	NULL
sales.prospect_labels	0	NOID	NOID
sales.prospects	1	1	1
sales.stage_entries	2	1	2
sales.template_documents	0	NOID	NOID
sales.templates	0	NULL	NULL
sales.uploads	0	NULL	NULL
sales.user_preferences	1	NOID	NOID
sales.workspace_members	1	1	1
sales.workspaces	1	1	1
